,pH,Temprature,Taste,Odor,Fat,Turbidity,Colour
331,6.8,40,1,0,1,0,245
44,6.6,45,0,0,0,1,250
307,6.8,45,1,1,1,0,245
323,9.0,43,1,0,1,1,250
1009,9.0,43,1,0,1,1,250
909,6.6,37,1,1,1,1,255
365,6.8,45,0,1,0,0,240
532,7.4,65,0,0,0,0,255
761,6.7,45,1,1,0,0,247
306,6.6,38,0,0,0,0,255
436,6.6,38,1,0,1,0,255
479,6.6,38,1,0,1,0,255
704,3.0,40,1,0,0,0,255
954,6.6,37,1,0,1,0,255
457,9.5,34,1,1,0,1,255
855,9.0,43,1,1,1,1,248
209,6.7,45,1,1,0,0,247
1036,6.8,40,1,1,1,1,255
1028,6.6,37,1,0,1,0,255
388,4.7,38,1,0,1,0,255
982,6.5,36,0,0,1,0,255
408,9.0,43,1,1,1,1,248
60,6.5,38,1,0,1,0,255
361,8.5,70,0,0,0,0,246
991,6.8,45,0,1,0,0,240
92,6.6,50,0,0,0,0,255
652,6.8,41,0,0,1,0,255
868,9.5,34,1,1,0,1,255
525,7.4,90,1,0,1,1,255
712,6.8,45,0,1,1,1,255
494,6.8,45,1,1,1,1,245
723,3.0,40,1,1,1,1,255
519,4.5,60,0,1,1,1,250
649,6.6,37,1,0,1,0,255
799,3.0,40,1,1,1,1,255
969,6.7,45,1,1,0,0,247
904,4.7,38,1,0,1,0,255
793,9.0,43,1,0,1,1,250
529,6.7,50,1,1,1,0,245
299,6.5,38,1,1,1,1,255
516,6.5,37,0,0,0,0,255
182,6.6,37,1,1,1,1,255
933,6.5,37,0,0,0,0,255
275,6.5,36,0,0,0,0,247
110,3.0,40,1,1,1,1,255
350,6.5,38,1,0,0,0,255
548,8.1,66,1,0,1,1,255
926,9.0,43,1,1,1,1,248
531,6.6,45,0,1,0,0,255
754,6.8,45,1,1,1,0,245
655,6.7,38,1,0,1,0,255
261,6.8,36,0,1,1,0,253
439,6.8,40,1,0,1,0,245
497,8.5,70,0,0,0,0,246
867,6.8,45,1,1,1,0,245
137,6.6,37,1,0,1,0,255
635,6.5,38,1,0,0,0,255
819,6.5,38,1,0,1,0,255
305,6.5,36,0,0,0,0,247
693,6.5,35,1,0,1,0,246
588,6.6,50,0,0,0,1,250
29,6.6,37,1,0,1,0,255
165,6.7,41,1,0,0,0,247
248,8.6,55,0,1,1,1,255
656,3.0,40,1,1,1,1,255
695,8.5,70,0,0,0,0,246
528,6.7,41,1,0,0,0,247
355,6.6,45,0,1,1,1,250
614,6.8,38,0,0,0,0,255
534,6.5,38,1,1,1,1,255
65,6.8,45,0,0,0,1,255
714,6.6,38,1,0,1,0,255
906,9.0,43,1,0,1,1,250
254,9.0,43,1,0,1,1,250
925,3.0,40,1,0,0,0,255
447,6.8,40,1,0,1,0,245
221,6.8,45,0,1,1,1,255
235,6.5,37,0,0,0,0,245
554,6.8,55,0,0,0,1,255
551,3.0,40,1,1,1,1,255
362,6.8,34,0,0,0,1,240
596,6.6,37,1,1,1,1,255
988,6.8,34,0,0,0,1,240
249,6.8,45,0,0,0,1,255
736,6.6,35,0,1,1,1,255
425,6.6,35,0,1,1,1,255
71,6.8,40,1,0,1,0,245
94,9.5,34,1,1,0,1,255
33,6.7,41,1,0,0,0,247
888,4.5,38,0,1,1,1,255
259,6.8,45,1,1,1,1,245
204,6.5,37,0,0,0,0,255
464,8.1,66,1,0,1,1,255
630,3.0,40,1,1,1,1,255
381,3.0,40,1,1,1,1,255
77,6.8,36,0,1,1,0,253
84,6.8,41,0,0,1,0,255
354,6.8,40,1,0,1,0,245
82,6.8,45,0,1,0,0,240
428,6.5,38,1,0,1,0,255
449,6.5,36,0,0,1,0,255
752,6.5,36,0,0,0,0,247
568,6.8,34,0,0,0,1,240
377,6.8,45,0,0,0,1,255
644,6.5,50,1,0,1,0,246
344,6.7,38,1,0,1,0,255
5,6.6,37,1,1,1,1,255
310,6.6,37,1,1,1,1,255
557,4.7,38,1,0,1,0,255
104,5.6,50,0,1,1,1,255
97,6.5,37,0,0,0,0,255
835,4.7,38,1,0,1,0,255
507,9.0,43,1,1,1,1,248
314,6.7,45,1,1,0,0,247
440,6.6,45,0,0,0,1,250
950,6.8,36,0,1,1,0,253
281,6.5,37,0,0,0,0,255
266,4.5,38,0,1,1,1,255
514,6.5,37,0,0,0,0,255
706,6.5,38,1,0,1,0,255
535,6.8,38,0,0,0,0,255
634,6.8,45,0,1,1,1,255
958,6.5,38,1,1,1,1,255
616,9.0,43,1,1,1,1,248
118,9.0,43,1,0,1,1,250
451,6.8,45,1,1,1,1,245
250,6.8,45,0,1,1,1,255
448,6.6,45,0,1,1,1,250
285,8.1,66,1,0,1,1,255
916,8.6,55,0,1,1,1,255
9,6.7,45,1,1,0,0,247
398,8.5,70,0,0,0,0,246
196,8.6,55,0,1,1,1,255
662,4.7,38,1,0,1,0,255
81,6.6,37,1,0,1,0,255
781,5.5,45,1,0,1,1,250
541,6.6,38,0,0,0,0,255
678,6.7,38,1,0,1,0,255
239,6.8,41,0,0,1,0,255
359,6.5,35,1,0,1,0,246
211,5.6,50,0,1,1,1,255
785,6.7,45,1,1,1,0,245
442,6.6,38,0,0,1,0,255
527,6.5,38,1,0,1,0,255
227,6.6,45,0,1,1,1,250
938,6.7,45,1,1,0,0,247
959,6.6,38,0,0,0,0,255
420,4.5,60,0,1,1,1,250
922,6.8,41,0,0,0,0,255
177,6.5,36,0,0,0,0,247
1023,6.5,35,1,0,1,0,246
481,9.0,43,1,0,1,1,250
590,6.6,50,0,0,0,0,255
886,6.6,45,0,1,1,1,250
390,9.0,43,1,0,1,1,250
411,6.5,36,0,0,0,0,247
453,6.8,36,0,1,1,0,253
7,4.5,60,0,1,1,1,250
155,5.5,45,1,0,1,1,250
357,4.5,38,0,1,1,1,255
947,4.5,38,0,1,1,1,255
223,4.7,38,1,0,1,0,255
329,3.0,40,1,1,1,1,255
545,6.6,37,1,1,1,1,255
594,9.5,34,1,1,0,1,255
852,6.5,38,1,1,1,1,255
495,6.5,35,1,0,1,0,246
621,6.8,45,1,1,1,0,245
542,6.8,45,1,1,1,0,245
413,6.8,45,1,1,1,0,245
633,6.8,55,0,0,0,1,255
1022,6.8,45,1,1,1,1,245
622,9.5,34,1,1,0,1,255
636,4.7,38,1,0,1,0,255
589,6.5,36,0,0,0,0,247
653,6.5,38,1,1,1,1,255
773,6.8,45,0,1,1,1,255
730,5.5,45,1,0,1,1,250
163,6.8,50,0,0,1,0,255
228,6.5,36,0,0,1,0,255
493,4.5,38,0,1,1,1,255
798,4.7,38,1,0,1,0,255
212,8.6,55,0,1,1,1,255
882,4.7,38,1,0,1,0,255
79,6.8,34,0,0,0,1,240
148,6.6,50,0,0,0,0,255
302,9.0,43,1,1,1,1,248
572,7.4,65,0,0,0,0,255
774,6.5,38,1,0,0,0,255
875,6.7,38,1,0,1,0,255
423,6.7,45,1,1,1,0,245
43,6.8,40,1,1,1,1,255
944,6.8,40,1,0,1,0,245
133,6.8,36,0,1,1,0,253
602,5.6,50,0,1,1,1,255
311,5.5,45,1,0,1,1,250
522,6.7,45,1,1,1,0,245
665,6.8,40,1,0,1,0,245
983,4.5,38,0,1,1,1,255
898,3.0,40,1,1,1,1,255
823,8.6,55,0,1,1,1,255
0,6.6,35,1,0,1,0,254
360,6.8,36,0,1,1,0,253
382,9.0,43,1,0,1,1,250
316,5.6,50,0,1,1,1,255
941,8.6,55,0,1,1,1,255
599,8.1,66,1,0,1,1,255
424,5.6,50,0,1,1,1,255
582,6.8,41,0,0,1,0,255
1021,4.5,38,0,1,1,1,255
707,6.7,38,1,0,1,0,255
172,6.8,38,0,0,0,0,255
125,6.8,36,0,1,1,0,253
485,6.6,38,0,0,1,0,255
1002,6.5,38,1,0,0,0,255
604,7.4,90,1,0,1,1,255
987,8.5,70,0,0,0,0,246
90,6.6,50,0,0,0,1,250
1026,6.8,34,0,0,0,1,240
181,6.5,37,0,0,0,0,255
363,6.5,37,0,0,0,0,245
274,6.6,50,0,0,0,1,250
777,9.0,43,1,0,1,1,250
978,3.0,40,1,1,1,1,255
69,3.0,40,1,1,1,1,255
291,6.8,50,0,0,1,0,255
131,6.8,45,1,1,1,1,245
300,6.8,38,0,0,0,0,255
1012,6.5,36,0,0,1,0,255
326,6.8,45,0,1,1,1,255
144,9.0,43,1,1,1,1,248
845,8.5,70,0,0,0,0,246
808,8.5,70,0,0,0,0,246
700,7.4,65,0,0,0,0,255
135,6.8,34,0,0,0,1,240
501,6.8,45,0,1,0,0,240
893,7.4,65,0,0,0,0,255
164,6.5,38,1,0,1,0,255
28,6.5,37,0,0,0,0,245
615,3.0,40,1,0,0,0,255
193,6.7,38,1,0,1,0,255
477,6.8,45,0,1,1,1,255
697,6.5,37,0,0,0,0,245
433,6.8,45,0,0,0,1,255
1024,6.8,36,0,1,1,0,253
169,7.4,65,0,0,0,0,255
549,6.7,45,1,1,0,0,247
140,6.8,41,0,0,1,0,255
173,3.0,40,1,0,0,0,255
6,5.5,45,1,0,1,1,250
977,4.7,38,1,0,1,0,255
543,9.5,34,1,1,0,1,255
711,6.8,45,0,0,0,1,255
828,3.0,40,1,1,1,1,255
73,6.5,36,0,0,1,0,255
889,6.8,45,1,1,1,1,245
728,4.5,38,0,1,1,1,255
238,7.4,65,0,0,0,0,255
145,6.8,40,1,1,1,1,255
866,6.6,38,0,0,0,0,255
234,6.8,34,0,0,0,1,240
