,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
53090,28.15,43.95,127,400,12797,20594,937.366,1.73,1.8,11.94,1.862,0.042,1948
39120,27.09,47.05,1094,474,12858,19461,938.91,2.08,2.16,14.29,2.228,0.05,14126
14619,14.698,51.48,1136,467,12852,19450,938.888,1.87,1.94,12.86,2.006,0.045,14619
46811,24.92,51.55,1379,406,12957,19383,938.725,1.68,1.75,11.58,1.805,0.041,21817
59190,-2.731,47.28,138,400,12797,20595,937.33,1.88,1.96,12.96,2.02,0.046,2304
31215,19.5,53.96,171,400,13173,20103,939.683,1.08,1.12,7.41,1.156,0.026,6221
9924,-3.32,53.61,695,700,12779,19561,939.125,2.47,2.57,17.02,2.654,0.06,9924
1876,23.574,53.91,75,400,13108,19969,939.597,1.03,1.07,7.06,1.102,0.025,1876
47726,24.47,53.81,1360,421,12968,19394,938.756,2.03,2.11,13.95,2.175,0.049,22732
54292,28.29,44.2,194,426,12766,20523,937.334,1.68,1.75,11.58,1.806,0.041,3150
34869,24.38,51.36,693,787,12733,19568,939.161,3.27,3.4,22.51,3.511,0.079,9875
37856,26.99,47.16,1019,528,12842,19471,938.917,1.98,2.05,13.6,2.121,0.048,12862
54386,26.19,47.88,198,431,12768,20521,937.377,1.8,1.87,12.38,1.93,0.044,3244
46013,26.87,47.83,1385,410,12945,19386,938.687,2.14,2.22,14.73,2.297,0.052,21019
29391,22.25,48.51,86,400,13241,20125,939.661,2.26,2.34,15.53,2.422,0.055,4397
8281,-4.486,50.53,316,400,13111,19947,939.392,0.38,0.4,2.62,0.409,0.009,8281
55769,52.74,13.61,4848,400,13037,19649,936.84,1.2,1.24,8.25,1.286,0.029,4627
42049,26.87,48.1,1122,404,12897,19432,938.801,1.85,1.92,12.75,1.988,0.045,17055
34684,23.58,54.74,783,961,12642,19523,939.131,2.75,2.86,18.93,2.953,0.067,9690
51395,26.8,45.49,54,409,12839,20724,937.57,1.98,2.05,13.6,2.121,0.048,253
22474,-18.664,49.96,1459,431,12953,19362,938.763,2.11,2.19,14.51,2.263,0.051,22474
19177,20.695,51.33,1253,411,12911,19415,938.722,1.34,1.39,9.2,1.435,0.032,19177
7186,-4.804,55.9,247,400,13131,20014,939.5,0.48,0.5,3.29,0.512,0.012,7186
15095,12.909,50.02,1143,453,12863,19448,938.828,1.74,1.81,12.0,1.871,0.042,15095
20527,10.335,49.01,1025,400,12992,19461,938.736,1.92,1.99,13.21,2.061,0.047,20527
34506,22.79,57.44,678,680,12794,19577,939.168,2.42,2.51,16.65,2.596,0.059,9512
38466,25.62,47.52,1270,553,12827,19424,938.872,2.04,2.12,14.06,2.192,0.05,13472
41717,24.76,52.59,1168,413,12883,19433,938.759,1.71,1.77,11.75,1.832,0.041,16723
36901,26.92,47.12,1113,619,12806,19447,939.029,2.29,2.38,15.78,2.461,0.056,11907
36579,26.12,50.56,1032,596,12822,19482,939.06,1.83,1.9,12.6,1.965,0.044,11585
29094,22.36,47.75,126,400,13227,20096,939.609,2.03,2.11,13.97,2.179,0.049,4100
61168,20.368,36.51,3657,400,13111,19733,936.867,0.79,0.82,5.44,0.849,0.019,4282
37540,26.44,49.55,1118,551,12828,19456,938.962,2.01,2.09,13.83,2.156,0.049,12546
4948,-8.107,48.34,44,400,13243,20178,939.691,2.19,2.27,15.05,2.347,0.053,4948
58226,-8.962,47.57,70,400,12783,20651,937.469,2.37,2.46,16.31,2.543,0.057,1340
25981,15.79,50.95,0,400,13032,19942,939.752,0.15,0.16,1.05,0.164,0.004,987
27286,17.45,53.75,32,400,13192,20129,939.59,1.08,1.12,7.42,1.157,0.026,2292
7442,-4.288,50.65,271,400,13129,19999,939.506,0.55,0.57,3.79,0.591,0.013,7442
5290,-9.119,49.96,24,400,13258,20214,939.717,2.21,2.29,15.2,2.37,0.054,5290
11326,9.958,51.66,1067,643,12796,19459,939.076,1.75,1.82,12.03,1.877,0.042,11326
990,27.112,50.54,3,400,13033,19944,939.744,0.16,0.17,1.1,0.171,0.004,990
52112,26.3,46.66,80,400,12792,20672,937.548,2.18,2.27,15.02,2.342,0.053,970
712,26.497,50.0,7,400,12919,19871,939.778,0.27,0.28,1.85,0.288,0.007,712
56868,46.46,15.73,537,400,13779,20659,936.645,0.54,0.56,3.73,0.581,0.013,5726
18741,20.569,47.65,1184,400,12915,19431,938.716,1.57,1.63,10.78,1.681,0.038,18741
26606,18.36,49.12,13,400,13134,20031,939.609,0.52,0.54,3.59,0.56,0.013,1612
47273,26.87,48.09,1356,400,12967,19398,938.722,1.83,1.91,12.62,1.969,0.044,22279
36529,26.47,48.39,1030,607,12815,19469,939.046,2.07,2.15,14.23,2.218,0.05,11535
9793,-3.938,58.72,688,824,12712,19578,939.128,2.51,2.61,17.3,2.697,0.061,9793
36463,26.16,50.14,1071,621,12809,19468,939.082,2.26,2.35,15.56,2.427,0.055,11469
29612,19.83,53.88,33,400,13262,20182,939.659,2.33,2.42,16.05,2.503,0.057,4618
25134,13.72,49.58,11,411,12563,19651,939.815,0.0,0.0,0.0,0.003,0.001,140
23459,-20.966,54.27,1421,417,12963,19379,938.697,1.84,1.91,12.66,1.974,0.045,23459
27385,18.74,47.32,51,400,13190,20111,939.602,0.82,0.85,5.61,0.875,0.02,2391
61417,18.786,20.45,31784,697,12659,18746,936.906,0.42,0.44,2.91,0.453,0.01,4531
41045,25.99,47.12,1201,432,12873,19424,938.777,1.55,1.61,10.69,1.666,0.038,16051
14508,15.216,52.75,1141,468,12858,19443,938.908,1.8,1.88,12.42,1.937,0.044,14508
33500,20.9,50.65,328,400,13097,19934,939.321,0.26,0.27,1.76,0.275,0.006,8506
56361,57.18,13.19,60000,3662,11864,17283,936.715,5213.33,7158.15,31505.17,7678.268,1817.016,5219
52676,28.57,41.97,79,400,12791,20641,937.401,2.13,2.21,14.65,2.284,0.052,1534
55826,47.11,16.15,347,400,13466,20811,936.82,1.12,1.16,7.69,1.199,0.027,4684
19815,18.147,48.3,1126,400,12933,19443,938.715,1.79,1.86,12.31,1.92,0.043,19815
55155,29.27,61.03,2306,400,13350,20042,937.018,0.61,0.63,4.19,0.653,0.015,4013
35122,24.07,50.36,973,755,12754,19485,939.088,2.35,2.45,16.2,2.527,0.057,10128
37626,25.51,47.55,1193,592,12816,19441,938.981,2.3,2.39,15.81,2.465,0.056,12632
10754,3.625,54.8,981,668,12789,19491,939.086,2.39,2.49,16.47,2.568,0.058,10754
56624,54.99,11.97,3078,400,13502,19890,936.707,0.86,0.89,5.9,0.92,0.021,5482
4234,-2.871,47.72,128,400,13216,20095,939.632,2.15,2.23,14.77,2.304,0.052,4234
5188,-8.922,48.35,17,400,13259,20196,939.713,2.54,2.64,17.51,2.731,0.062,5188
50224,27.15,36.99,14071,11642,11974,17913,931.117,6861.79,7572.51,46112.93,7894.738,596.699,236
