,Fire Alarm
53090,0
39120,1
14619,1
46811,1
59190,0
31215,1
9924,1
1876,0
47726,1
54292,0
34869,1
37856,1
54386,0
46013,1
29391,1
8281,1
55769,0
42049,1
34684,1
51395,0
22474,1
19177,1
7186,1
15095,1
20527,1
34506,1
38466,1
41717,1
36901,1
36579,1
29094,1
61168,0
37540,1
4948,1
58226,0
25981,0
27286,0
7442,1
5290,1
11326,1
990,0
52112,0
712,0
56868,0
18741,1
26606,0
47273,1
36529,1
9793,1
36463,1
29612,1
25134,0
23459,1
27385,0
61417,0
41045,1
14508,1
33500,1
56361,0
52676,0
55826,0
19815,1
55155,0
35122,1
37626,1
10754,1
56624,0
4234,1
5188,1
50224,1
42874,1
52122,0
19304,1
27046,0
47965,1
22356,1
24178,1
18442,1
13737,1
59544,0
52383,0
33855,1
7423,1
32514,1
57876,0
30336,1
36399,1
52595,0
43311,1
47408,1
43759,1
22468,1
60285,0
24107,1
61217,0
6740,1
13102,1
13298,1
59789,0
61466,0
33935,1
36404,1
19339,1
39980,1
51687,0
62266,0
3436,1
19508,1
26023,0
37907,1
21932,1
6378,1
24359,1
29620,1
2407,0
16313,1
50117,1
40653,1
50168,1
10776,1
24673,1
5824,1
61789,0
49460,1
60321,0
49136,1
9786,1
33271,1
48522,1
3186,1
44159,1
13223,1
15955,1
47489,1
4268,1
51870,0
35248,1
62094,0
52284,0
16449,1
42550,1
52659,0
19259,1
4331,1
33649,1
17090,1
21579,1
18149,1
11854,1
42950,1
7503,1
3128,0
37973,1
1854,0
15195,1
17413,1
36966,1
30322,1
42900,1
30992,1
41376,1
56829,0
44684,1
54966,0
4774,1
1890,0
10931,1
54110,0
1039,0
26252,0
54640,0
30652,1
26463,0
54198,0
31755,1
10793,1
17988,1
55285,0
14901,1
12784,1
34073,1
9666,1
2698,0
34517,1
55998,0
54215,0
47136,1
1173,0
26850,0
55407,0
56469,0
17472,1
12532,1
58586,0
20595,1
10755,1
28663,1
52742,0
35466,1
37552,1
57688,0
27039,0
18227,1
5650,1
30942,1
57673,0
24738,1
23924,1
54422,0
19816,1
20251,1
12154,1
36934,1
6303,1
26693,0
56821,0
17789,1
13338,1
27494,0
22910,1
17065,1
11589,1
44456,1
40340,1
49389,1
15951,1
1311,0
51603,0
11103,1
47501,1
41342,1
59793,0
14420,1
43618,1
44040,1
35259,1
60799,0
56657,0
18504,1
37256,1
61812,0
39842,1
4788,1
9524,1
40900,1
55305,0
44422,1
57194,0
20771,1
5024,1
26326,0
52055,0
33211,1
20373,1
61643,0
51493,0
15674,1
44899,1
55184,0
12880,1
33852,1
10450,1
42269,1
9552,1
48551,1
26787,0
34821,1
38961,1
60757,0
29956,1
12139,1
47067,1
42873,1
57413,0
30633,1
55530,0
3983,1
21015,1
25542,0
48361,1
610,0
18962,1
53161,0
37228,1
23264,1
54619,0
49201,1
29199,1
47686,1
58362,0
4946,1
18606,1
56902,0
52501,0
46348,1
23445,1
33898,1
48271,1
8391,1
11017,1
15325,1
1147,0
57152,0
39979,1
13943,1
21214,1
60837,0
58698,0
7082,1
34419,1
8986,1
30277,1
31991,1
14482,1
19161,1
42995,1
46726,1
35990,1
52309,0
20748,1
2743,0
52611,0
7165,1
17784,1
32314,1
49400,1
16781,1
20563,1
31077,1
21328,1
9333,1
43616,1
11344,1
59932,0
37718,1
31356,1
