,Feature,Value,Elapsed_Time,Train_Score,Test_Score
0,Initial_Confs,0,183.9470944404602,0.8814713896457765,0.8586956521739131
1,Initial_Confs,2,204.13940262794495,0.9850136239782016,0.8804347826086957
2,Initial_Confs,4,176.947101354599,1.0,0.8478260869565217
3,Initial_Confs,8,203.50416731834412,0.9196185286103542,0.8586956521739131
4,Initial_Confs,16,216.62655353546143,0.9809264305177112,0.875
5,Initial_Confs,32,395.9918029308319,1.0,0.875
6,Max_Models,2,182.0725657939911,0.9904632152588556,0.8804347826086957
7,Max_Models,4,187.57536005973816,0.9863760217983651,0.8913043478260869
8,Max_Models,8,185.16056966781616,0.9727520435967303,0.8913043478260869
9,Max_Models,16,230.08935546875,0.9482288828337875,0.8641304347826086
10,Max_Models,32,716.7732305526733,0.9904632152588556,0.8804347826086957
11,Max_Models,64,1089.5657155513763,1.0,0.8804347826086957
12,Ensemble_Size,1,987.7928941249847,0.9741144414168937,0.8641304347826086
13,Ensemble_Size,2,243.53347826004028,0.9959128065395095,0.8858695652173914
14,Ensemble_Size,3,316.8059332370758,1.0,0.8804347826086957
15,Ensemble_Size,4,225.88536524772644,0.997275204359673,0.8804347826086957
16,Ensemble_Size,8,631.6096811294556,0.9577656675749319,0.8641304347826086
17,Ensemble_Size,16,235.5712902545929,0.9359673024523161,0.875
18,Resampling_Strategy,holdout,238.02225017547607,0.9482288828337875,0.8641304347826086
19,Resampling_Strategy,holdout-iterative-fit,998.674159526825,0.8487738419618529,0.8260869565217391
20,Resampling_Strategy,cv,176.49822854995728,0.9741144414168937,0.8641304347826086
21,Resampling_Strategy,cv-iterative-fit,179.9795458316803,1.0,0.8695652173913043
