,Feature,Value,Elapsed_Time,Train_Score,Test_Score
0,Population_Size,1,10.90540599822998,0.8692098092643051,0.875
1,Population_Size,2,11.488181352615356,0.8651226158038147,0.8641304347826086
2,Population_Size,4,16.479708433151245,0.8841961852861036,0.8586956521739131
3,Population_Size,8,605.1292834281921,0.888283378746594,0.8478260869565217
4,Population_Size,16,933.0411787033081,0.8623978201634878,0.8586956521739131
5,Population_Size,32,992.6255435943604,0.9264305177111717,0.8858695652173914
6,Population_Size,64,963.0030837059021,0.944141689373297,0.8858695652173914
7,Population_Size,128,566.3856408596039,0.9373297002724795,0.8695652173913043
8,Offspring_Size,1,378.0173649787903,1.0,0.8478260869565217
9,Offspring_Size,2,207.94305562973022,0.9455040871934605,0.9021739130434783
10,Offspring_Size,4,415.7561674118042,0.944141689373297,0.8913043478260869
11,Offspring_Size,8,1221.1374752521515,0.9128065395095368,0.875
12,Offspring_Size,16,1118.9149656295776,0.885558583106267,0.8478260869565217
13,Offspring_Size,32,1284.5278420448303,0.888283378746594,0.8804347826086957
14,Offspring_Size,64,1194.3080778121948,0.9754768392370572,0.8858695652173914
15,Offspring_Size,128,625.0270202159882,0.9237057220708447,0.8641304347826086
16,Mutation_Crossover_Rates,"0.1,0.9",604.2499294281006,0.9686648501362398,0.8858695652173914
17,Mutation_Crossover_Rates,"0.2,0.8",522.6402080059052,0.9550408719346049,0.8967391304347826
18,Mutation_Crossover_Rates,"0.3,0.7",550.8230111598969,0.8623978201634878,0.8695652173913043
19,Mutation_Crossover_Rates,"0.4,0.6",623.6996071338654,0.9196185286103542,0.875
20,Mutation_Crossover_Rates,"0.5,0.5",628.9995892047882,0.9386920980926431,0.8532608695652174
21,Mutation_Crossover_Rates,"0.6,0.4",595.0008549690247,0.9087193460490464,0.8586956521739131
22,Mutation_Crossover_Rates,"0.7,0.3",415.24667739868164,0.8760217983651226,0.8913043478260869
23,Mutation_Crossover_Rates,"0.8,0.2",525.1781842708588,0.9168937329700273,0.8804347826086957
24,Mutation_Crossover_Rates,"0.9,0.1",641.1946587562561,0.8801089918256131,0.8695652173913043
