,Feature,Value,Elapsed_Time,Train_Score,Test_Score
0,Initial_Confs,0,200.97826957702637,1.0,0.9952830188679245
1,Initial_Confs,2,207.65903449058533,1.0,0.9952830188679245
2,Initial_Confs,4,193.471825838089,0.9976387249114522,0.9905660377358491
3,Initial_Confs,8,220.2378056049347,0.9988193624557261,0.9858490566037735
4,Initial_Confs,16,238.72920155525208,0.9988193624557261,0.9858490566037735
5,Initial_Confs,32,180.23492908477783,0.9988193624557261,0.9858490566037735
6,Max_Models,2,176.20965909957886,0.9988193624557261,0.9858490566037735
7,Max_Models,4,175.7391927242279,0.9988193624557261,0.9858490566037735
8,Max_Models,8,172.07325625419617,1.0,0.9905660377358491
9,Max_Models,16,225.90666675567627,1.0,0.9952830188679245
10,Max_Models,32,225.91783714294434,0.9988193624557261,0.9858490566037735
11,Max_Models,64,222.92574214935303,1.0,0.9905660377358491
12,Ensemble_Size,1,234.19381046295166,1.0,0.9952830188679245
13,Ensemble_Size,2,210.31980109214783,1.0,0.9905660377358491
14,Ensemble_Size,3,193.20694947242737,0.9988193624557261,0.9811320754716981
15,Ensemble_Size,4,203.15395641326904,0.9988193624557261,0.9811320754716981
16,Ensemble_Size,8,217.54504776000977,1.0,0.9905660377358491
17,Ensemble_Size,16,214.27465176582336,1.0,0.9952830188679245
18,Resampling_Strategy,holdout,212.73604607582092,1.0,0.9952830188679245
19,Resampling_Strategy,holdout-iterative-fit,195.17835521697998,1.0,0.9905660377358491
20,Resampling_Strategy,cv,176.69473028182983,1.0,0.9905660377358491
21,Resampling_Strategy,cv-iterative-fit,181.79563188552856,0.9988193624557261,0.9858490566037735
