,Feature,Value,Elapsed_Time,Score
0,Population_Size,1,20.181109189987183,0.877665544332211
1,Population_Size,2,29.068015813827515,0.8754208754208754
2,Population_Size,4,18.507955312728882,0.8058361391694725
3,Population_Size,8,57.636420011520386,0.8720538720538721
4,Population_Size,16,154.6248276233673,0.920314253647587
5,Population_Size,32,193.2458975315094,0.9135802469135802
6,Population_Size,64,843.1556854248047,0.8799102132435466
7,Population_Size,128,651.9134349822998,0.8799102132435466
8,Offspring_Size,1,577.0597724914551,0.8832772166105499
9,Offspring_Size,2,345.2050561904907,0.8967452300785634
10,Offspring_Size,4,251.10423707962036,0.8664421997755332
11,Offspring_Size,8,244.18712306022644,0.9079685746352413
12,Offspring_Size,16,277.743127822876,0.8832772166105499
13,Offspring_Size,32,306.24773812294006,0.9068462401795735
14,Offspring_Size,64,518.2527697086334,0.9079685746352413
15,Offspring_Size,128,643.5378544330597,0.8922558922558923
16,Mutation_Crossover_Rates,"0.1,0.9",1039.884975194931,0.9292929292929293
17,Mutation_Crossover_Rates,"0.2,0.8",1005.6314830780029,0.9180695847362514
18,Mutation_Crossover_Rates,"0.3,0.7",983.0437242984772,0.8888888888888888
19,Mutation_Crossover_Rates,"0.4,0.6",1013.2481889724731,0.8832772166105499
20,Mutation_Crossover_Rates,"0.5,0.5",431.8965582847595,0.8866442199775533
21,Mutation_Crossover_Rates,"0.6,0.4",664.6412966251373,0.8900112233445566
22,Mutation_Crossover_Rates,"0.7,0.3",614.9179880619049,0.9034792368125701
23,Mutation_Crossover_Rates,"0.8,0.2",644.2542879581451,0.8911335578002245
24,Mutation_Crossover_Rates,"0.9,0.1",667.4769556522369,0.8843995510662177
