,Feature,Value,Elapsed_Time,Train_Score,Test_Score
0,Initial_Confs,0,199.6117193698883,0.9943994280266921,0.9939525882922109
1,Initial_Confs,2,587.5495316982269,0.9998808388941849,0.9997581035316885
2,Initial_Confs,4,188.02213191986084,1.0,1.0
3,Initial_Confs,8,261.99859976768494,1.0,1.0
4,Initial_Confs,16,229.29666590690613,1.0,1.0
5,Initial_Confs,32,575.4385714530945,1.0,1.0
6,Max_Models,1,175.8993203639984,1.0,1.0
7,Max_Models,2,176.88177227973938,1.0,1.0
8,Max_Models,4,177.14722347259521,1.0,1.0
9,Max_Models,8,177.44144320487976,1.0,1.0
10,Max_Models,16,175.47201085090637,1.0,1.0
11,Max_Models,32,176.05006575584412,1.0,1.0
12,Max_Models,64,181.24112629890442,1.0,1.0
13,Ensemble_Size,1,176.5821235179901,1.0,1.0
14,Ensemble_Size,2,175.30734515190125,1.0,1.0
15,Ensemble_Size,3,175.50006556510925,1.0,1.0
16,Ensemble_Size,4,175.70662140846252,1.0,1.0
17,Ensemble_Size,8,2042.3590171337128,1.0,1.0
18,Ensemble_Size,16,178.23017287254333,0.28836987607244996,0.2883405902273827
19,Resampling_Strategy,holdout,190.36875987052917,1.0,1.0
20,Resampling_Strategy,holdout-iterative-fit,218.85091066360474,1.0,1.0
21,Resampling_Strategy,cv,176.19985055923462,0.28836987607244996,0.2883405902273827
22,Resampling_Strategy,cv-iterative-fit,182.21944737434387,1.0,1.0
